OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1789,Bacteria,1,Firmicutes,0.98,Clostridia,0.94,Clostridiales,0.91,Clostridiales_Incertae Sedis XIII,0.24,Anaerovorax,0.15
Otu1790,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Peptostreptococcaceae,1,Terrisporobacter,1
Otu1791,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Blautia,0.85
Otu1792,Bacteria,0.98,Firmicutes,0.73,Erysipelotrichia,0.54,Erysipelotrichales,0.54,Erysipelotrichaceae,0.52,Bulleidia,0.28
Otu1793,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,1,Muribaculum,0.96
Otu1794,Bacteria,1,Firmicutes,0.77,Clostridia,0.6,Clostridiales,0.6,Ruminococcaceae,0.45,Colidextribacter,0.41
Otu1795,Bacteria,1,Firmicutes,0.94,Clostridia,0.76,Clostridiales,0.76,Lachnospiraceae,0.57,Anaerobium,0.01
Otu1796,Bacteria,1,Firmicutes,0.67,Clostridia,0.55,Clostridiales,0.55,Lachnospiraceae,0.38,Anaerobium,0
Otu1797,Bacteria,1,Firmicutes,0.9,Clostridia,0.85,Clostridiales,0.85,Lachnospiraceae,0.49,Robinsoniella,0.06
Otu1798,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,0.97,Pediococcus,0.31
Otu1799,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Hydrogeniiclostridium,0.66
Otu1800,Bacteria,1,Firmicutes,0.87,Clostridia,0.82,Clostridiales,0.8,Ruminococcaceae,0.7,Lawsonibacter,0.09
Otu1801,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Holdemania,1
Otu1802,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Phocea,0.36
Otu1803,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Gemmiger,0.58
Otu1804,Bacteria,1,Firmicutes,0.9,Clostridia,0.85,Clostridiales,0.82,Clostridiaceae 2,0.28,Anoxynatronum,0.24
Otu1805,Bacteria,1,Firmicutes,0.98,Clostridia,0.68,Clostridiales,0.67,Peptostreptococcaceae,0.21,Criibacterium,0.15
Otu1806,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.99,Hydrogenoanaerobacterium,0.21
Otu1807,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,0.99,Duncaniella,0.66
Otu1808,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium XlVa,0.17
Otu1809,Bacteria,1,Firmicutes,1,Clostridia,0.95,Clostridiales,0.92,Clostridiales_Incertae Sedis XIII,0.23,Anaerovorax,0.14
Otu1810,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Harryflintia,1
Otu1811,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.96,Clostridium IV,0.2
Otu1812,Bacteria,1,Firmicutes,0.98,Clostridia,0.98,Clostridiales,0.98,Lachnospiraceae,0.97,Marvinbryantia,0.36
Otu1813,Bacteria,1,Firmicutes,0.98,Clostridia,0.87,Clostridiales,0.87,Ruminococcaceae,0.84,Monoglobus,0.48
Otu1814,Bacteria,1,Firmicutes,0.95,Clostridia,0.9,Clostridiales,0.87,Clostridiales_Incertae Sedis XIII,0.11,Anaerovorax,0.04
Otu1815,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Enterocloster,0.34
Otu1816,Bacteria,1,Firmicutes,0.8,Clostridia,0.39,Clostridiales,0.39,Ruminococcaceae,0.2,Colidextribacter,0.2
Otu1817,Bacteria,1,Firmicutes,0.87,Clostridia,0.62,Clostridiales,0.62,Clostridiales_Incertae Sedis XII,0.29,Guggenheimella,0.29
Otu1818,Bacteria,1,Proteobacteria,1,Betaproteobacteria,1,Burkholderiales,1,Oxalobacteraceae,0.83,Noviherbaspirillum,0.81
Otu1819,Bacteria,1,Proteobacteria,1,Gammaproteobacteria,1,Enterobacterales,1,Enterobacteriaceae,1,Escherichia/Shigella,0.87
Otu1820,Bacteria,1,Firmicutes,1,Negativicutes,1,Acidaminococcales,1,Acidaminococcaceae,1,Acidaminococcus,1
Otu1821,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Lawsonibacter,0.74
Otu1822,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Weissella,1
Otu1823,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.99,Bacteroidales,0.99,Muribaculaceae,0.91,Muribaculum,0.57
Otu1824,Bacteria,1,Verrucomicrobia,1,Verrucomicrobiae,1,Verrucomicrobiales,1,Akkermansiaceae,1,Akkermansia,1
Otu1825,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Neglecta,0.89
Otu1826,Bacteria,1,Firmicutes,0.94,Clostridia,0.93,Clostridiales,0.93,Lachnospiraceae,0.74,Robinsoniella,0.22
Otu1827,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Extibacter,0.16
Otu1828,Bacteria,1,Firmicutes,0.96,Clostridia,0.73,Clostridiales,0.73,Clostridiales_Incertae Sedis XIII,0.23,Ihubacter,0.17
Otu1829,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Mediterraneibacter,0.95
Otu1830,Bacteria,1,Firmicutes,0.99,Clostridia,0.82,Clostridiales,0.82,Clostridiales_Incertae Sedis XIII,0.18,Anaerovorax,0.09
Otu1831,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,1,Muribaculum,0.93
Otu1832,Bacteria,1,Firmicutes,0.97,Clostridia,0.96,Clostridiales,0.96,Lachnospiraceae,0.39,Robinsoniella,0.16
Otu1833,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.95,Clostridium IV,0.27
Otu1834,Bacteria,1,Firmicutes,0.56,Clostridia,0.43,Clostridiales,0.43,Clostridiaceae 3,0.08,Caldisalinibacter,0.08
Otu1835,Bacteria,1,Firmicutes,1,Clostridia,0.96,Clostridiales,0.96,Clostridiales_Incertae Sedis XIII,0.18,Anaerovorax,0.08
Otu1836,Bacteria,1,Firmicutes,0.89,Clostridia,0.88,Clostridiales,0.88,Ruminococcaceae,0.27,Anaerobacterium,0.14
