sample,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,pre_weight,post_weight,pellet_weight
jxe.151,4/14/21,16,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.9788,1.0031,0.0243
jxe.152,4/14/21,16,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,0.9911,1.0277,0.0366
jxe.153,4/14/21,16,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,0.9855,1.0226,0.0371
jxe.154,4/14/21,16,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9791,1.0012,0.0221
jxe.155,4/14/21,16,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.9842,0.9947,0.0105
jxe.156,4/14/21,16,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9837,1.0422,0.0585
jxe.157,4/14/21,16,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9766,1.0054,0.0288
jxe.158,4/14/21,16,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9787,0.9918,0.0131
jxe.159,4/14/21,16,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.9771,1.0277,0.0506
jxe.160,4/14/21,16,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.9843,1.0206,0.0363
jxe.161,4/15/21,17,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9747,0.9942,0.0195
jxe.162,4/15/21,17,treatment,JC1,jax_control,jax,J2,black,TM/GU,0.9768,0.9948,0.018
jxe.163,4/15/21,17,treatment,JC2,jax_control,jax,J3,red,TM/GU,0.9787,0.9997,0.021
jxe.164,4/15/21,17,treatment,JC2,jax_control,jax,J4,green,TM/GU,0.9814,1.0102,0.0288
jxe.165,4/15/21,17,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9775,1.0058,0.0283
jxe.166,4/15/21,17,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,0.9769,1.0165,0.0396
jxe.167,4/15/21,17,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.981,1.0124,0.0314
jxe.168,4/15/21,17,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,0.9776,1.0148,0.0372
jxe.169,4/15/21,17,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,0.9776,0.9928,0.0152
jxe.170,4/15/21,17,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9826,1.0027,0.0201
jxe.171,4/15/21,17,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.9866,1.0106,0.024
jxe.172,4/15/21,17,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9912,1.0269,0.0357
jxe.173,4/15/21,17,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9869,1.0338,0.0469
jxe.174,4/15/21,17,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9831,1.0099,0.0268
jxe.175,4/15/21,17,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.9794,1.0074,0.028
jxe.176,4/15/21,17,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.984,1.0063,0.0223
jxe.177,4/28/21,30,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9773,1.0107,0.0334
jxe.178,4/28/21,30,treatment,JC1,jax_control,jax,J2,black,TM/GU,0.9712,1.0404,0.0692
jxe.179,4/28/21,30,treatment,JC2,jax_control,jax,J3,red,TM/GU,0.977,0.9979,0.0209
jxe.180,4/28/21,30,treatment,JC2,jax_control,jax,J4,green,TM/GU,0.9844,1.0118,0.0274
jxe.181,4/28/21,30,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9709,0.9905,0.0196
jxe.182,4/28/21,30,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,0.9865,1.0135,0.027
jxe.183,4/28/21,30,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.975,0.9941,0.0191
jxe.184,4/28/21,30,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,0.9797,1.0015,0.0218
jxe.185,4/28/21,30,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,0.9815,1.018,0.0365
jxe.186,4/28/21,30,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9715,1.0473,0.0758
jxe.187,4/28/21,30,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.9756,1,0.0244
jxe.188,4/28/21,30,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9847,1.0208,0.0361
jxe.189,4/28/21,30,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9834,1.0086,0.0252
jxe.190,4/28/21,30,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9829,1.0366,0.0537
jxe.191,4/28/21,30,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.975,1.007,0.032
jxe.192,4/28/21,30,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.9853,1.0096,0.0243
jxe.193,4/29/21,31,treatment,JC1,jax_control,jax,J1,none,TM/GU,,,
jxe.194,4/29/21,31,treatment,JC1,jax_control,jax,J2,black,TM/GU,,,
jxe.195,4/29/21,31,treatment,JC2,jax_control,jax,J3,red,TM/GU,,,
jxe.196,4/29/21,31,treatment,JC2,jax_control,jax,J4,green,TM/GU,,,
jxe.197,4/29/21,31,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,,,
jxe.198,4/29/21,31,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,,,
jxe.199,4/29/21,31,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,,,
jxe.200,4/29/21,31,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,,,
jxe.201,4/29/21,31,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,,,
jxe.202,4/29/21,31,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,,,
jxe.203,4/29/21,31,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,,,
jxe.204,4/29/21,31,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
jxe.205,4/29/21,31,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,,,
jxe.206,4/29/21,31,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,,,
jxe.207,4/29/21,31,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,,,
jxe.208,4/29/21,31,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,,,
jxe.209,4/30/21,32,treatment,JC1,jax_control,jax,J1,none,TM/GU,,,
jxe.210,4/30/21,32,treatment,JC1,jax_control,jax,J2,black,TM/GU,,,
jxe.211,4/30/21,32,treatment,JC2,jax_control,jax,J3,red,TM/GU,,,
jxe.212,4/30/21,32,treatment,JC2,jax_control,jax,J4,green,TM/GU,,,
jxe.213,4/30/21,32,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,,,
jxe.214,4/30/21,32,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,,,
jxe.215,4/30/21,32,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,,,
jxe.216,4/30/21,32,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,,,
jxe.217,4/30/21,32,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,,,
jxe.218,4/30/21,32,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,,,
jxe.219,4/30/21,32,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,,,
jxe.220,4/30/21,32,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,,,
jxe.221,4/30/21,32,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,,,
jxe.222,4/30/21,32,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,,,
jxe.223,4/30/21,32,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,,,
jxe.224,4/30/21,32,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,,,
