OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu665,Bacteria,0.9400,Firmicutes,0.2500,Actinobacteria,0.2400,Micrococcales,0.1600,Eubacteriaceae,0.0800,Saccharibacteria_genera_incertae_sedis,0.1100
Otu663,Bacteria,0.9900,Firmicutes,0.3500,Clostridia,0.2100,Clostridiales,0.2000,Lachnospiraceae,0.1700,Anaerotignum,0.1700
Otu661,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Rhodospirillales,1.0000,Acetobacteraceae,1.0000,Roseomonas,1.0000
Otu664,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.9500,Clostridiales,0.9500,Ruminococcaceae,0.6000,Oscillibacter,0.2900
Otu662,Bacteria,1.0000,Bacteroidetes,0.9300,Bacteroidia,0.8800,Bacteroidales,0.8800,Bacteroidaceae,0.5300,Bacteroides,0.3600
Otu666,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,1.0000,Erysipelotrichales,1.0000,Erysipelotrichaceae,1.0000,Allobaculum,0.8500
Otu668,Bacteria,1.0000,Bacteroidetes,1.0000,Cytophagia,0.7000,Cytophagales,0.7000,Cytophagaceae,0.7000,Emticicia,0.5300
Otu667,Bacteria,1.0000,Firmicutes,0.8000,Clostridia,0.5700,Clostridiales,0.5700,Clostridiaceae_1,0.5100,Clostridium_sensu_stricto,0.5100
Otu669,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9800,Ruminococcaceae,0.6800,Ruminococcus,0.3600
Otu671,Bacteria,1.0000,Bacteroidetes,0.5500,Bacteroidia,0.5500,Bacteroidales,0.5500,Bacteroidaceae,0.4300,Phocaeicola,0.3500
Otu670,Bacteria,1.0000,Bacteroidetes,0.8500,Bacteroidia,0.8500,Bacteroidales,0.8500,Bacteroidaceae,0.8500,Bacteroides,0.8500
Otu674,Bacteria,1.0000,Actinobacteria,0.2700,Actinobacteria,0.2600,Rhodobacterales,0.2100,Rhodobacteraceae,0.2100,Rhodovulum,0.2000
Otu672,Bacteria,1.0000,Firmicutes,0.5000,Erysipelotrichia,0.5000,Erysipelotrichales,0.5000,Erysipelotrichaceae,0.5000,Duncaniella,0.3400
Otu673,Bacteria,1.0000,Firmicutes,0.8700,Clostridia,0.8600,Clostridiales,0.8600,Ruminococcaceae,0.4500,Agathobaculum,0.3000
Otu677,Bacteria,0.9600,Proteobacteria,0.3400,Gammaproteobacteria,0.2800,Gammaproteobacteria_incertae_sedis,0.1800,Streptococcaceae,0.1100,Candidatus_Carsonella,0.1800
Otu675,Bacteria,1.0000,Bacteroidetes,0.7400,Sphingobacteriia,0.3300,Sphingobacteriales,0.3300,Sphingobacteriaceae,0.3300,Sphingobacterium,0.2700
Otu680,Bacteria,0.9200,Firmicutes,0.6500,Bacilli,0.3700,Bacillales,0.3700,Bacillaceae_2,0.2100,Terribacillus,0.2100
Otu682,Bacteria,0.9900,Proteobacteria,0.4800,Gammaproteobacteria,0.4200,Xanthomonadales,0.2000,Xanthomonadaceae,0.1800,Pseudoxanthomonas,0.1200
Otu676,Bacteria,1.0000,Firmicutes,0.6100,Cytophagia,0.3400,Cytophagales,0.3400,Selenomonadaceae,0.2600,Anaerovibrio,0.2000
Otu684,Bacteria,0.9600,Actinobacteria,0.4600,Actinobacteria,0.4400,Propionibacteriales,0.3100,Nocardioidaceae,0.2700,Nocardioides,0.2700
Otu681,Bacteria,1.0000,Firmicutes,0.9200,Clostridia,0.9200,Clostridiales,0.9200,Lachnospiraceae,0.9200,Marvinbryantia,0.7200
Otu683,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,0.6000,Erysipelotrichales,0.6000,Erysipelotrichaceae,0.6000,Anaerostipes,0.3900
Otu678,Bacteria,1.0000,Bacteroidetes,0.5500,Cytophagia,0.4400,Cytophagales,0.4400,Flammeovirgaceae,0.2300,Flammeovirga,0.2300
Otu679,Bacteria,1.0000,Verrucomicrobia,0.6600,Verrucomicrobiae,0.6600,Verrucomicrobiales,0.6600,Akkermansiaceae,0.4500,Akkermansia,0.4500
Otu685,Bacteria,1.0000,Actinobacteria,0.8900,Coriobacteriia,0.8900,Eggerthellales,0.8900,Eggerthellaceae,0.8900,Raoultibacter,0.6600
