OTU,d0_otu_biomass,d0_total_biomass,d0_scaled_biomass,early_otu_biomass,early_total_biomass,early_scaled_biomass,late_otu_biomass,late_total_biomass,late_scaled_biomass,early_delta,late_delta,early_type,late_type,genus,family
Otu3,0.0000996580093644547,0.79096651724274,0.00012599523139343,0.056367668626841,0.70837687558537,0.0795729936557589,0.0613661784758793,0.843305172427757,0.0727686494548761,0.0562680106174765,0.00499850984903828,Gained,Gained,Ligilactobacillus,Lactobacillaceae
Otu110,0.000646566934620624,0.79096651724274,0.00081743907046093,0.00387649004473514,0.70837687558537,0.00547235543443141,0.00150471704342825,0.843305172427757,0.00178430904093281,0.00322992311011452,-0.0023717730013069,Gained,Displaced,Enterocloster,Lachnospiraceae
Otu153,0.00189543773363291,0.79096651724274,0.00239635647314161,0.00362690345063926,0.70837687558537,0.0051200195484108,0.000917060687588283,0.843305172427757,0.00108746005310058,0.00173146571700635,-0.00270984276305098,Gained,Displaced,Enterocloster,Lachnospiraceae
Otu101,0.00321414343215034,0.79096651724274,0.00406356446459282,0.0155430996603234,0.70837687558537,0.0219418507238528,0.000440089960643469,0.843305172427757,0.000521863229388849,0.0123289562281731,-0.01510300969968,Gained,Displaced,Anaeroplasma,Anaeroplasmataceae
Otu205,0.000825113502040673,0.79096651724274,0.00104317121401923,0.00123543130872845,0.70837687558537,0.00174403111014536,0.00429704199202974,0.843305172427757,0.00509547686000687,0.00041031780668778,0.00306161068330129,Gained,Gained,Flintibacter,Ruminococcaceae
Otu47,0.00258659323407186,0.79096651724274,0.00327016779811181,0.00875739904361885,0.70837687558537,0.0123626269369425,0.00129482394772892,0.843305172427757,0.0015354156360755,0.006170805809547,-0.00746257509588993,Gained,Displaced,Oscillibacter,Ruminococcaceae
Otu136,0.00245680195142401,0.79096651724274,0.00310607579191629,0.00192827830544774,0.70837687558537,0.00272210792292492,0.000197267189921665,0.843305172427757,0.000233921475133089,-0.000528523645976277,-0.00173101111552607,Displaced,Displaced,Marvinbryantia,Lachnospiraceae
Otu245,0.00238385626269633,0.79096651724274,0.00301385230692989,0.0043969364091427,0.70837687558537,0.00620705807979584,0.0000542237129454635,0.843305172427757,0.0000642990399185636,0.00201308014644637,-0.00434271269619724,Gained,Displaced,Mogibacterium,Lachnospiraceae
Otu30,0.00591233487857125,0.79096651724274,0.00747482320639979,0.0161972017736309,0.70837687558537,0.0228652322398953,0.00524135261957189,0.843305172427757,0.00621525017388756,0.0102848668950597,-0.010955849154059,Gained,Displaced,Butyrivibrio,Lachnospiraceae
Otu208,0.00221189235077729,0.79096651724274,0.00279644245686633,0.00323472297256634,0.70837687558537,0.00456638702370587,0.00000397487876619763,0.843305172427757,0.00000471345237306504,0.00102283062178905,-0.00323074809380015,Gained,Displaced,Ruminococcus2,Lachnospiraceae
Otu61,0.00365209398597159,0.79096651724274,0.00461725484752827,0.00653826099209451,0.70837687558537,0.009229918730325,0.00810889576145662,0.843305172427757,0.00961561250491593,0.00288616700612292,0.00157063476936211,Gained,Gained,Lawsonibacter,Ruminococcaceae
Otu68,0.00279860049843617,0.79096651724274,0.00353820349841346,0.00249396859930686,0.70837687558537,0.00352068042487405,0.00391269331251824,0.843305172427757,0.00463971221859596,-0.000304631899129317,0.00141872471321138,Displaced,Gained,Sporobacter,Ruminococcaceae
Otu5,0.00219830594296172,0.79096651724274,0.00277926548727357,0.000212296370992746,0.70837687558537,0.000299694101134108,0.0000956121599636575,0.843305172427757,0.000113377888681038,-0.00198600957196897,-0.000116684211029088,Displaced,Displaced,Bacteroides,Bacteroidaceae
Otu94,0.00983518123008366,0.79096651724274,0.0124343837769119,0.00227384647839706,0.70837687558537,0.00320993888531167,0.000394589540596512,0.843305172427757,0.000467908360458106,-0.00756133475168659,-0.00187925693780055,Displaced,Displaced,Clostridium_XlVa,Lachnospiraceae
Otu52,0.00728194043827214,0.79096651724274,0.00920638267174259,0,0.70837687558537,0,0,0.843305172427757,0,-0.00728194043827214,0,Displaced,Displaced,Turicibacter,Erysipelotrichaceae
Otu140,0.00508279627774628,0.79096651724274,0.00642605744610352,0.00203399045419639,0.70837687558537,0.0028713394300394,0.00153758646931779,0.843305172427757,0.00182328594628596,-0.00304880582354989,-0.000496403984878598,Displaced,Displaced,Duncaniella,Muribaculaceae
Otu17,0.00784183389136049,0.79096651724274,0.00991424253797321,0.0136849839841144,0.70837687558537,0.0193187898359976,0.0222920714959896,0.843305172427757,0.0264341690586503,0.00584315009275389,0.00860708751187522,Gained,Gained,Muribaculum,Muribaculaceae
Otu77,0.0103271950494017,0.79096651724274,0.0130564250499524,0.00299670575385313,0.70837687558537,0.00423038336955422,0.00546854555038553,0.843305172427757,0.00648465790224238,-0.00733048929554858,0.00247183979653239,Displaced,Gained,Muribaculum,Barnesiellaceae
Otu64,0.0128798423265238,0.79096651724274,0.0162836757887327,0.00170771588244563,0.70837687558537,0.00241074481861713,0.00621704255356092,0.843305172427757,0.00737223339406651,-0.0111721264440782,0.0045093266711153,Displaced,Gained,Muribaculum,Muribaculaceae
