,id,sample_id,abundance,abundance_normalized,domain,phylum,class,order,family,genus,species
120,AZC3J_31,sample_1,33283,26345.15898891412,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,
121,AZC3J_31,sample_5,19157,15163.723545071893,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,
122,AZC3J_31,sample_9,25404,20108.53645868384,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,
123,AZC3J_31,sample_15,8011,6341.1071315744075,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Oscillospiraceae,,
124,AZC3J_32,sample_1,158541,157916.36626681036,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
125,AZC3J_32,sample_5,237262,236327.21436849746,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
126,AZC3J_32,sample_9,122979,122494.47655260198,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
127,AZC3J_32,sample_15,189584,188837.0603334593,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp6
128,AZC3J_33,sample_1,17908,8324.654254305668,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
129,AZC3J_33,sample_5,15751,7321.958295709658,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
130,AZC3J_33,sample_9,23196,10782.816622898943,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
131,AZC3J_33,sample_15,32978,15330.045119415472,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
132,AZC3J_34,sample_1,591200,282061.4915790074,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
133,AZC3J_34,sample_5,222357,106086.51401054356,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
134,AZC3J_34,sample_9,467932,223250.33470491896,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
135,AZC3J_34,sample_15,329028,156979.24298250617,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
