taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
medium,sample_15,1e-06,EX_malt_m,-0.16067946629008195,,malt_m,import
medium,sample_15,1e-06,EX_dgsn_m,-0.011042426654791338,,dgsn_m,import
medium,sample_15,1e-06,EX_cit_m,-0.0004645381546200659,,cit_m,import
medium,sample_15,1e-06,EX_cu2_m,-0.0005522045426010444,,cu2_m,import
medium,sample_4,1e-06,EX_thm_m,0.0028115443956165482,,thm_m,export
medium,sample_4,1e-06,EX_bhb_m,5.819429447166676e-05,,bhb_m,export
medium,sample_4,1e-06,EX_thymd_m,-0.0010981195821080664,,thymd_m,import
medium,sample_4,1e-06,EX_ura_m,-0.05667701890013716,,ura_m,import
medium,sample_4,1e-06,EX_gly_m,-7.829811014223821,,gly_m,import
medium,sample_4,1e-06,EX_pi_m,-0.7419910758402797,,pi_m,import
medium,sample_4,1e-06,EX_h2_m,9.30325242780212,,h2_m,export
medium,sample_4,1e-06,EX_cl_m,-0.00405315255822309,,cl_m,import
medium,sample_4,1e-06,EX_no3_m,-0.0020614659677082804,,no3_m,import
medium,sample_4,1e-06,EX_dha_m,0.16675632525600526,,dha_m,export
medium,sample_4,1e-06,EX_o2_m,-0.0010000213725738095,,o2_m,import
medium,sample_4,1e-06,EX_no2_m,-0.001486082361206498,,no2_m,import
medium,sample_4,1e-06,EX_ade_m,-0.02208706944892944,,ade_m,import
medium,sample_4,1e-06,EX_fru_m,-20.06926728233193,,fru_m,import
medium,sample_4,1e-06,EX_pnto__R_m,0.00031301332325651466,,pnto__R_m,export
medium,sample_4,1e-06,EX_mn2_m,-0.0005380924326911331,,mn2_m,import
medium,sample_4,1e-06,EX_hxan_m,-0.023320493642475768,,hxan_m,import
medium,sample_4,1e-06,EX_cgly_m,-0.0041169711182373215,,cgly_m,import
medium,sample_4,1e-06,EX_mnl_m,-0.0004744249424530958,,mnl_m,import
medium,sample_4,1e-06,EX_ribflv_m,-0.00011009526068980885,,ribflv_m,import
medium,sample_4,1e-06,EX_ptrc_m,0.002584530663282419,,ptrc_m,export
medium,sample_4,1e-06,EX_2obut_m,-0.016349215903480045,,2obut_m,import
medium,sample_4,1e-06,EX_sucr_m,-0.7631725180781933,,sucr_m,import
medium,sample_4,1e-06,EX_pydx_m,-0.001011014820430395,,pydx_m,import
medium,sample_4,1e-06,EX_ival_m,0.1923293797234166,,ival_m,export
medium,sample_4,1e-06,EX_chor_m,-0.00028959554693321906,,chor_m,import
medium,sample_4,1e-06,EX_fol_m,-5.4549676341266435e-05,,fol_m,import
medium,sample_4,1e-06,EX_meoh_m,0.058735888162327346,,meoh_m,export
medium,sample_4,1e-06,EX_gthrd_m,-0.00039700615368989137,,gthrd_m,import
medium,sample_4,1e-06,EX_h2co3_m,1.0918736916998604e-06,,h2co3_m,export
medium,sample_4,1e-06,EX_dad_2_m,-0.011044719927470933,,dad_2_m,import
medium,sample_4,1e-06,EX_gal_m,0.00031762319479249366,,gal_m,export
medium,sample_4,1e-06,EX_k_m,-0.15199984126135285,,k_m,import
medium,sample_4,1e-06,EX_lac__L_m,0.002740685802829745,,lac__L_m,export
medium,sample_4,1e-06,EX_for_m,0.32093752055493263,,for_m,export
medium,sample_4,1e-06,EX_h2o_m,15.454476529018015,,h2o_m,export
medium,sample_4,1e-06,EX_2mpa_m,4.260713640672185,,2mpa_m,export
medium,sample_4,1e-06,EX_fe3_m,-0.006080500289812189,,fe3_m,import
medium,sample_4,1e-06,EX_co2_m,39.48196181492504,,co2_m,export
medium,sample_4,1e-06,EX_nac_m,0.07196391529216797,,nac_m,export
medium,sample_4,1e-06,EX_isobuta_m,12.588464406406649,,isobuta_m,export
medium,sample_4,1e-06,EX_h2s_m,-0.19205006820330298,,h2s_m,import
medium,sample_4,1e-06,EX_xan_m,-0.05462451797498571,,xan_m,import
medium,sample_4,1e-06,EX_glyc_m,19.51108394930394,,glyc_m,export
medium,sample_4,1e-06,EX_adn_m,-0.011044720039942151,,adn_m,import
medium,sample_4,1e-06,EX_glyclt_m,2.0990858075874074e-06,,glyclt_m,export
medium,sample_4,1e-06,EX_fe2_m,-0.005228797506456177,,fe2_m,import
medium,sample_4,1e-06,EX_etoh_m,3.821168756884011,,etoh_m,export
