gene,postFMT_2_jejunum
gene_3876300,757
gene_4101748,756
gene_4452467,755
gene_3422190,755
gene_4059907,754
gene_2907312,754
gene_4609410,754
gene_3727693,753
gene_4013034,751
gene_4128623,751
gene_3723278,751
gene_3994098,750
gene_4385476,748
gene_4021954,745
gene_4107753,745
gene_2942453,745
gene_4179817,744
gene_3545699,742
gene_4451134,742
gene_4246894,741
gene_3730822,740
gene_3748570,740
gene_3840599,740
gene_3812130,739
gene_4443788,737
gene_4254653,737
gene_3878289,735
gene_4207199,735
gene_2988423,733
gene_4372256,733
gene_4105546,732
gene_4062857,731
gene_3963734,731
gene_4529699,731
gene_4434871,730
gene_3736800,730
gene_4513990,727
gene_3939574,727
gene_4527917,727
gene_3887703,727
gene_4327639,724
gene_3655250,723
gene_4088309,723
gene_4280128,722
gene_3193677,721
gene_4069655,719
gene_3483964,719
gene_2545589,719
gene_3377577,719
gene_4140213,719
gene_4511433,714
gene_4174320,714
gene_4210246,712
gene_4528196,709
gene_4578517,708
gene_4096066,708
gene_4270176,706
gene_4269533,703
gene_3158796,703
gene_4435123,700
gene_4408105,700
gene_3629582,699
gene_4099942,698
gene_3768640,697
gene_3835586,697
gene_3830681,695
gene_3407586,695
gene_4320137,694
gene_4543219,694
gene_4623429,694
gene_4286467,692
gene_3021138,690
gene_2658889,690
gene_4246071,689
gene_2531463,689
gene_3447360,688
gene_4605923,688
gene_3138143,688
gene_4573431,686
gene_4412666,685
gene_3979508,685
gene_2436565,685
gene_4258089,681
gene_4239563,677
gene_2950539,673
gene_4438282,673
gene_3515995,672
gene_4322121,672
gene_3684338,670
gene_3395345,669
gene_4637268,667
gene_4157725,665
gene_3624994,662
gene_2862595,661
gene_3928646,660
gene_3880134,660
gene_4108746,658
gene_2497116,658
gene_2762206,658
gene_3637357,655
gene_3570114,654
gene_4505499,652
gene_4528749,651
gene_4584189,650
gene_3321131,648
gene_4563513,647
gene_2891827,646
gene_4477387,645
gene_2671473,645
gene_3672159,645
gene_3776251,644
gene_4037308,642
gene_4290563,641
gene_3061537,640
gene_4612385,639
gene_4536110,639
gene_4287837,639
gene_4236880,638
gene_4382972,638
gene_2843767,637
gene_4426395,635
gene_4449784,633
gene_3546743,633
gene_4131554,633
gene_4337085,632
gene_2726972,632
gene_4564532,630
gene_4529695,630
gene_3371393,629
gene_3256987,628
gene_1797084,628
gene_4523371,628
gene_4007919,626
gene_3766364,625
gene_4064682,624
gene_3700585,624
gene_4018213,623
gene_4093542,623
gene_3020902,622
gene_4470406,622
gene_3903189,622
gene_3017876,619
gene_2688259,618
gene_4556371,618
gene_3688249,618
gene_4546408,617
gene_3788353,617
gene_3896782,616
gene_4602238,616
gene_3900615,615
gene_4527576,613
gene_3070147,612
gene_3487708,612
gene_2889990,612
gene_4399332,609
gene_3930782,607
gene_4259368,605
gene_2975699,605
gene_2554634,604
gene_3754341,604
gene_2226190,603
gene_4110617,603
gene_3224342,601
gene_3847533,600
gene_4502189,599
gene_4452507,599
gene_4032220,596
gene_3319054,595
gene_2548133,594
gene_3241222,593
gene_4417977,592
gene_3603345,591
gene_3426084,590
gene_3566700,589
gene_3530376,589
gene_3851480,589
gene_3367050,589
gene_3424683,589
gene_4473652,588
gene_4561586,588
gene_3225670,586
gene_3910328,586
gene_3791658,585
gene_3878339,584
gene_3920429,582
gene_3553954,582
gene_2451765,582
gene_3619597,581
gene_4446473,580
gene_3664881,578
gene_4351361,578
gene_3769682,576
gene_3864697,576
gene_3365398,573
gene_3743822,572
gene_4252705,572
gene_4488023,572
gene_3008563,572
gene_4635507,572
gene_3784734,572
gene_3801155,571
gene_3030514,571
gene_4224908,570
gene_2748457,570
gene_4187980,570
gene_4109179,569
gene_3356152,569
gene_4181468,569
gene_3942185,569
gene_3183669,569
gene_4572013,569
gene_4203262,568
gene_4235718,567
gene_3968138,567
gene_3385050,567
gene_4248567,567
gene_3952118,567
gene_3015770,567
gene_3853186,567
gene_3912717,565
gene_3896186,565
gene_3434320,564
gene_2598443,564
gene_2862090,563
gene_3747117,563
gene_3209100,562
gene_4442343,561
gene_2738377,560
gene_4492869,559
gene_2444072,559
gene_4198064,558
gene_4353436,557
gene_4497927,555
gene_4350987,555
gene_3752113,555
gene_4228672,555
gene_3708805,554
gene_1228123,553
gene_4022371,553
gene_4095762,550
gene_4214791,549
gene_4561712,549
gene_4369391,548
gene_3688415,547
gene_3386808,547
gene_4346855,547
gene_4566738,547
gene_2612009,546
gene_3748625,545
gene_2345741,543
gene_4293903,543
gene_3606768,541
gene_4099202,540
gene_3148548,539
gene_3939997,538
gene_4039330,538
gene_4063114,537
gene_4131555,537
gene_4007592,537
gene_4466074,535
gene_2360609,533
gene_3661365,531
gene_3308717,530
gene_3943020,530
gene_4445774,530
gene_3680054,530
gene_4520504,529
gene_3363935,528
gene_4288577,527
gene_3768162,527
gene_3840600,527
gene_4405189,526
gene_3237970,526
gene_4070916,526
gene_4566159,525
gene_3902141,525
gene_4114702,523
gene_3240042,522
gene_4525919,522
gene_3638608,522
gene_4161604,521
4-4_GL0084790,520
gene_3205533,519
gene_4241568,519
gene_2197877,518
gene_4039328,518
gene_3503605,518
gene_3568137,517
gene_3946214,515
gene_3823417,515
gene_3477439,515
gene_3369022,512
gene_3694244,510
gene_4405191,507
gene_3622006,507
gene_3892505,506
gene_4095889,505
gene_4317729,504
gene_3819729,504
gene_4356249,504
gene_3442602,504
gene_4343613,503
gene_4117233,503
gene_4147670,503
gene_4480420,502
gene_4421702,499
gene_4021955,499
gene_3162651,499
gene_4103682,498
gene_3166850,496
gene_4519327,495
gene_3889288,495
gene_3539774,495
gene_4115873,493
gene_3772264,492
gene_3970211,488
gene_3975977,488
gene_4358011,488
gene_4291186,487
gene_3026649,486
gene_2479644,486
gene_4066797,485
gene_2403163,485
