gene,postFMT_4_ileum
gene_4103682,1992
gene_3647451,1991
gene_4147670,1988
gene_4117233,1984
gene_4631409,1980
gene_4525919,1977
gene_4115873,1975
gene_3916226,1975
gene_3638608,1973
gene_4291186,1970
gene_2197877,1970
gene_3788613,1969
gene_2479644,1965
gene_4475386,1965
gene_4227884,1964
gene_3539774,1964
gene_4438084,1962
gene_4214790,1953
gene_3591813,1952
gene_4582928,1951
gene_3892505,1949
gene_4082320,1943
gene_4624815,1943
gene_3681740,1939
gene_2348583,1938
gene_4560520,1937
gene_4638289,1936
gene_3162651,1936
gene_3975977,1934
gene_4066797,1933
gene_4347975,1929
gene_3122280,1926
gene_2207959,1920
4-4_GL0084790,1920
gene_3125400,1918
gene_2947299,1916
DSM22607_4_GL0243623,1915
gene_3697920,1914
gene_3706445,1912
gene_4401953,1910
gene_3877458,1909
gene_3987263,1907
gene_2244609,1903
gene_4019258,1900
gene_4241568,1900
gene_4253786,1895
gene_4363402,1894
gene_4339927,1891
gene_3394078,1887
gene_2668423,1886
gene_4421702,1877
gene_2731442,1876
gene_3147418,1876
gene_3534883,1872
gene_4267891,1867
gene_4549415,1865
gene_3561552,1863
gene_4015697,1862
gene_3794014,1861
gene_4103276,1854
gene_3178518,1853
gene_4237576,1841
gene_2155406,1839
gene_4306017,1837
gene_2403163,1834
gene_3970211,1830
gene_3894131,1829
gene_4460953,1828
gene_4633114,1828
gene_4251654,1827
gene_2839180,1826
gene_4207445,1824
gene_3703611,1823
gene_3340959,1820
gene_4145712,1810
gene_3283102,1807
gene_3163159,1803
gene_4104294,1800
gene_3930693,1799
gene_4559733,1795
gene_3826634,1794
gene_4021342,1793
gene_4475245,1793
gene_4192376,1786
gene_3501642,1775
gene_4056695,1773
gene_4239737,1762
gene_3737321,1762
gene_4491746,1761
gene_2242713,1755
gene_4483122,1752
gene_4544227,1750
gene_4348082,1750
gene_4471155,1748
gene_2579591,1748
gene_4512224,1741
gene_3549334,1739
gene_3031888,1733
gene_2870586,1732
gene_4094560,1730
gene_4559732,1722
gene_4156632,1721
gene_3222669,1715
gene_3965834,1714
gene_3296140,1714
gene_4498628,1712
gene_3251442,1705
gene_3920705,1705
gene_3504372,1705
gene_3491307,1702
gene_4138552,1698
gene_3577630,1695
gene_4258739,1694
gene_2745606,1693
gene_3422684,1690
gene_3896976,1687
gene_2821593,1686
gene_3416091,1686
gene_3070690,1686
gene_4414549,1682
gene_3948070,1681
gene_4316716,1678
gene_2414908,1673
gene_2974748,1667
gene_4441498,1665
gene_3723759,1663
gene_4277213,1656
gene_4285981,1656
gene_4091043,1656
gene_2815513,1654
gene_4437088,1648
gene_2684484,1647
gene_3952487,1642
gene_4245387,1642
gene_2891628,1635
