,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K05995,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,55.0,14.0,1.0,0.0,28.0,0.0,10.0,2.0,0.0,1.0,6.0,3.0,5.0,0.0,7.0,0.0,9.0,13.0
K06001,17.0,8.0,3.0,3.0,11.0,26.0,287.0,0.0,53.0,55.0,3.0,263.0,3.0,20.0,16.0,2.0,149.0,104.0,38.0,6.0,0.0,1.0,485.0,72.0,12.0,0.0,193.0,0.0,42.0,35.0,22.0,19.0,39.0,76.0,12.0,0.0,112.0,0.0,16.0,66.0
K06006,1.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K06012,1.0,4.0,0.0,3.0,4.0,3.0,63.0,0.0,19.0,13.0,7.0,118.0,9.0,9.0,7.0,1.0,89.0,48.0,12.0,0.0,0.0,1.0,125.0,55.0,0.0,0.0,84.0,1.0,40.0,19.0,0.0,2.0,6.0,23.0,4.0,0.0,17.0,0.0,25.0,52.0
K06013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
K06015,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0
K06016,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0
K06019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
K06020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K06023,0.0,6.0,0.0,1.0,1.0,8.0,125.0,2.0,42.0,5.0,7.0,151.0,10.0,3.0,14.0,2.0,101.0,61.0,24.0,5.0,0.0,2.0,149.0,21.0,0.0,0.0,81.0,0.0,39.0,12.0,4.0,11.0,22.0,18.0,15.0,0.0,52.0,0.0,25.0,42.0
