,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00282,0.0,0.0,0.0,0.0,0.0,53.97912276038107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00283,0.0,232.98492338963433,0.0,0.0,0.0,0.0,217.15470013976082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.03216541201847,0.0,0.0,0.0,0.0
K00286,0.0,211.59050466451268,0.0,0.0,0.0,217.51930268284025,0.0,0.0,0.0,0.0,94.83512723460012,88.44811067759744,0.0,0.0,0.0,87.02506722251319,0.0,0.0,0.0,0.0
K00287,0.0,0.0,0.0,0.0,0.0,87.32822184378969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0710434777173,0.0,0.0,0.0,0.0
K00290,0.0,535.6075171847008,0.0,0.0,0.0,19.262923495373048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00294,0.0,0.0,0.0,0.0,0.0,14.189998891619187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00297,161.11224158200622,192.5546807154562,0.0,0.0,0.0,434.45575965548556,0.0,0.0,0.0,0.0,0.0,485.73121747682353,0.0,0.0,0.0,81.60482082111095,0.0,0.0,0.0,0.0
K00329,0.0,0.0,0.0,0.0,0.0,49.710770310640115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00335,0.0,0.0,0.0,0.0,785.2893320014826,0.0,0.0,0.0,0.0,0.0,0.0,58.525366766768464,0.0,0.0,0.0,36.849676902032925,0.0,0.0,0.0,0.0
K00336,155.9879960514543,0.0,0.0,0.0,0.0,13.47057587089024,0.0,0.0,0.0,0.0,42.25174774354541,81.88227139953531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00337,385.9208429955929,0.0,0.0,0.0,0.0,21.226361978372505,0.0,0.0,0.0,0.0,0.0,0.0,9.553824364365433,0.0,0.0,65.69301731838739,0.0,12.485062247274248,0.0,0.0
K00338,0.0,0.0,0.0,0.0,0.0,40.131090615360506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00339,0.0,323.53664376027234,0.0,0.0,0.0,44.797496500867545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00340,443.44226492571227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.85408521423489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00341,0.0,0.0,0.0,0.0,225.3640982371119,11.398179583060974,0.0,0.0,0.0,0.0,0.0,72.0377124112745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00342,0.0,0.0,0.0,0.0,0.0,30.335430141165553,0.0,0.0,0.0,0.0,51.25212004394562,0.0,0.0,0.0,0.0,143.41172065518026,0.0,0.0,0.0,0.0
K00343,0.0,0.0,0.0,0.0,0.0,47.928805228441846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.67461751440595,0.0,0.0,0.0,0.0
K00346,0.0,124.49284726346049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.48050528416715,58.23563722831911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.4975442907283,0.0,0.0,0.0
K00351,0.0,127.92713270521112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.429846010119206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00364,0.0,0.0,0.0,0.0,0.0,23.34899817620975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.2510605327243,0.0,0.0,0.0,0.0,0.0,0.0
K00366,180.82179950425223,0.0,0.0,0.0,0.0,15.04915898076019,391.4665000585242,0.0,0.0,0.0,50.45597060636976,91.45732719074567,0.0,0.0,0.0,45.8828661815196,0.0,0.0,0.0,0.0
K00375,111.65812426187,0.0,0.0,0.0,0.0,15.62914685222965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00382,0.0,123.93831342264328,0.0,0.0,0.0,0.0,221.91686461650988,0.0,0.0,0.0,0.0,255.33195394928282,0.0,0.0,0.0,51.49299829105037,189.0609343391375,0.0,0.0,0.0
K00384,304.19057807404045,353.9066409360222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.6140121106279,76.88626614457816,0.0,0.0,0.0,449.3333385396438,296.43700506136537,0.0,0.0,0.0
K00390,0.0,0.0,0.0,0.0,0.0,80.40845634712929,0.0,0.0,0.0,0.0,0.0,84.93573083119466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00412,0.0,0.0,24.693011541908678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.472461322477496,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00425,0.0,327.6616140754407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
