ko_map,gi_location,no_FMT_control,Recipient,Donor,postFMTvsnoFMT,donorVnoFMT,postFMTvdonor
K05593,colon,0.02335275,0.02366825,0.664164,0.0193605885167645,4.8298751702745,-4.81051458175774
K05601,colon,0.02335275,0.02366825,0.792257,0.0193605885167645,5.08430414602626,-5.06494355750949
K05799,colon,0.02335275,0.02366825,0.6406025,0.0193605885167645,4.77776507275698,-4.75840448424022
K05878,colon,0.02335275,0.02366825,0.6168475,0.0193605885167645,4.72324950786912,-4.70388891935235
K05934,colon,0.02335275,0.02366825,0.43205625,0.0193605885167645,4.20955479548294,-4.19019420696617
K06042,colon,0.02335275,0.02366825,0.2858565,0.0193605885167645,3.61362674003437,-3.5942661515176
K06895,colon,0.02335275,0.02366825,0.43666575,0.0193605885167645,4.22486502177369,-4.20550443325692
K07150,colon,0.02335275,0.02366825,0.922175,0.0193605885167645,5.30337619948061,-5.28401561096384
K07160,colon,0.02335275,0.02366825,0.2756725,0.0193605885167645,3.56129100137194,-3.54193041285517
K07216,colon,0.02335275,0.02366825,0.742182,0.0193605885167645,4.99010865645536,-4.97074806793859
K07451,colon,0.87058625,0.02366825,8.89516,-5.20096229033475,3.35296141637077,-8.55392370670551
