,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K04651,17.44550738757923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58260417228194,0.0,105.34291143497305,0.0,0.0,0.0,0.0,97.95704504293087,127.64361901570815,102.7454086929808,0.0,0.0,0.0,38.022517727905964,0.0,0.0,0.0,128.69302970996378,0.0,19.274713724723746,38.89364687835701,0.0,0.0,35.57239884926135,53.05664294039915,35.73335138847874,0.0,39.870351865308,0.0,0.0,9.619566536944891
K04652,0.0,0.0,0.0,0.0,0.0,0.0,4.59038186468656,0.0,0.0,0.0,0.0,301.11755819651506,305.27209310786253,191.01867395838013,270.9870665735101,0.0,334.8525994160289,148.48000165849874,102.38282923203192,0.0,0.0,0.0,114.72697653049472,0.0,13.550419729671294,0.0,149.58985288288187,0.0,38.9117131885823,92.74590901359213,0.0,47.022166656564174,168.32750111266603,0.0,44.71993381794634,0.0,87.33442782169142,0.0,0.0,20.99557648992412
K04653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.95549427641417,221.2107998745013,0.0,108.00940502695214,89.5787648163277,0.0,116.44195174829494,230.94311656737315,135.81289654819298,0.0,0.0,266.83744262994986,7.255967307513701,0.0,0.0,0.0,16.861990663140457,0.0,0.0,26.59967803749704,0.0,0.0,0.0,79.44679606960811,0.0,0.0,7.778204801221366,0.0,0.0,0.0
K04654,0.0,0.0,0.0,0.0,20.486307616194715,48.42022245412281,5.169496326589284,0.0,0.0,30.696933351800606,138.3307435512628,309.41999035987425,106.65794631297614,0.0,103.2608239957668,0.0,282.502575103961,143.69103365421037,51.07660806783628,0.0,24.11290191781906,0.0,9.590322894521686,0.0,0.0,0.0,65.2805230619476,0.0,6.123182536859753,6.6690835425424835,0.0,194.0081890504333,64.60366615611159,0.0,87.35892916886945,0.0,33.85793291985859,0.0,7.4916535487813025,0.0
K04655,0.0,0.0,0.0,268.15018072651804,10.900067278485265,0.0,0.0,0.0,26.28676260180685,17.424847937708257,146.79133948711987,321.73336355912164,113.18136810581869,114.94578883602246,262.0223326243997,0.0,292.44659867927,85.10399679495033,18.066853210539435,14.594507800662255,0.0,0.0,21.328226866673322,0.0,0.0,0.0,65.47881226859568,0.0,6.778569046921195,7.076978560434991,0.0,111.9243905026976,159.54862417646075,0.0,6.8561184981902805,0.0,44.04986056704115,0.0,7.579532182784603,3.8537101417118667
K04656,0.0,0.0,0.0,56.12445643113168,102.25922013035168,45.77911941117065,26.345021122215027,0.0,42.02181371710587,21.374813467346574,115.60878615676347,299.4483596104806,80.03282148003962,95.0545197419275,434.71370980504577,0.0,544.4921402832513,218.57508867167687,93.8498415604927,13.74360228100654,0.0,0.0,39.734274123132224,15.17415105589406,4.899147448891201,0.0,162.65868590179707,1.1724645348618687,6.041313810291346,27.21586965615808,0.0,60.50699770722333,76.85887522540283,4.048244385712515,47.56185100126294,0.0,171.3286865506712,0.0,2.9471157061910485,24.415970495275122
K04691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6043815369177805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K04720,55.27851601212235,79.88281510555275,142.48259681941798,379.8789782280676,10.29951260749434,79.88537435691924,101.69175645729351,0.0,23.96989866457922,78.00257913076385,0.0,51.242200923308836,49.08528828992402,131.17549503896606,21.202074512740285,0.0,22.052257139826747,67.76032598249635,174.1270900527448,39.955287770465475,0.0,126.50099118586635,74.01204051853556,43.136995378912516,9.728506472584519,2.2444029835881287,55.699712870037615,0.0,56.3155776636226,6.4822744797261675,5.2504288103965875,0.0,39.091893275879876,60.549089941811346,33.541567944649714,0.0,18.523637761738165,0.0,21.674692253061693,66.33023067917865
K04744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.948286751793547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6176678001794358
K04749,0.0,0.0,0.0,0.0,0.0,0.0,37.89506730847628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268216063243353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.29123538216285,0.0,0.0,0.0,0.0,0.0
K04750,0.0,0.0,0.0,0.0,377.2742846018317,0.0,6.203218736062918,0.0,0.0,440.94988083903803,0.0,0.0,0.0,271.03716278883445,0.0,0.0,116.09280312924568,93.141243017431,0.0,0.0,15.583516435755572,0.0,107.17638306766733,477.52432588356135,0.0,0.0,44.07781340983396,0.0,34.024089114635316,288.33418657962426,0.0,0.0,0.0,21.472107045840033,0.0,0.0,24.075313821175463,0.0,121.68050514147231,285.01173887971595
