OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu286,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Hungatella,0.5400
Otu287,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.6000,Bacteroidales,0.6000,Paludibacteraceae,0.4000,Paludibacter,0.4000
Otu289,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9200,Muricomes,0.6500
Otu288,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Tissierellaceae,0.6400,Anaerosalibacter,0.6400
Otu290,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Pediococcus,0.9900
Otu292,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Prevotellaceae,0.9300,Prevotella,0.6100
Otu294,Bacteria,1.0000,Tenericutes,0.5000,Mollicutes,0.5000,Acholeplasmatales,0.5000,Acholeplasmataceae,0.5000,Acholeplasma,0.5000
Otu291,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.6300,Thermoanaerobacterales,0.4000,Thermoanaerobacteraceae,0.4000,Thermoanaerobacter,0.3800
Otu293,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,0.9100,Ruminococcaceae,0.9100,Clostridium_IV,0.4000
Otu295,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lachnobacterium,0.9200
Otu297,Bacteria,1.0000,Firmicutes,0.5400,Clostridia,0.4800,Clostridiales,0.4800,Lachnospiraceae,0.2600,Cellulosilyticum,0.2300
Otu296,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.8600,Clostridiales,0.8600,Clostridiales_Incertae_Sedis_XIII,0.8400,Mogibacterium,0.8000
Otu298,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9800,Pseudobacteroides,0.6600
Otu299,Bacteria,1.0000,Firmicutes,0.7200,Clostridia,0.7200,Clostridiales,0.7200,Ruminococcaceae,0.3300,Spiroplasma,0.1400
Otu300,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Coprococcus,0.9900
Otu302,Bacteria,1.0000,Tenericutes,0.7100,Mollicutes,0.7100,Acholeplasmatales,0.7100,Acholeplasmataceae,0.7100,Acholeplasma,0.7100
Otu301,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lachnoanaerobaculum,0.8900
Otu303,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Muricomes,0.4800
Otu304,Bacteria,1.0000,Bacteroidetes,0.9000,Bacteroidia,0.6000,Bacteroidales,0.6000,Bacteroidaceae,0.6000,Bacteroides,0.5300
Otu305,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Faecalicatena,0.9800
Otu306,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Howardella,0.3000
Otu307,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9900,Ruminococcus,0.7400
Otu308,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Odoribacteraceae,0.9900,Odoribacter,0.9900
Otu311,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Ruminococcus,0.5500
Otu312,Bacteria,1.0000,Firmicutes,0.6400,Clostridia,0.6400,Clostridiales,0.6400,Lachnospiraceae,0.3500,Spiroplasma,0.1700
Otu309,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Lactobacillales,1.0000,Lactobacillaceae,1.0000,Limosilactobacillus,1.0000
Otu310,Bacteria,1.0000,Firmicutes,1.0000,Bacilli,1.0000,Bacillales,1.0000,Staphylococcaceae,1.0000,Staphylococcus,0.9900
Otu313,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,0.4600
Otu314,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Coprococcus,0.3900
